Format Version,1.23,Take Name,Take 2022-04-21 07.56.13 AM_007,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2022-04-21 12.33.40.997 DU.,Total Frames in Take,4853,Total Exported Frames,4853,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1258,Unlabeled 1258,Unlabeled 1258
,ID,"C47B0","C47B0","C47B0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,1243.012329,41.036106,295.103302
1,0.033333,1243.013672,41.036766,295.106995
2,0.066667,1243.021729,41.043514,295.120728
3,0.100000,1243.000732,41.023296,295.115784
4,0.133333,1243.010864,41.041874,295.108124
5,0.166667,1243.010986,41.039051,295.128571
6,0.200000,1242.995972,41.022583,295.103882
7,0.233333,1243.010254,41.043579,295.106873
8,0.266667,1243.006958,41.024052,295.135284
9,0.300000,1243.012817,41.022953,295.131927
10,0.333333,1243.031372,41.026775,295.130829
11,0.366667,1243.025513,41.042343,295.122803
12,0.400000,1242.993530,41.040775,295.109589
13,0.433333,1243.009888,41.042347,295.107117
14,0.466667,1243.000610,41.043644,295.109436
15,0.500000,1243.020386,41.017696,295.106110
16,0.533333,1243.015503,41.041607,295.101440
17,0.566667,1243.024292,41.056221,295.092255
18,0.600000,1243.024292,41.032845,295.105408
19,0.633333,1243.000977,41.042568,295.090424
20,0.666667,1242.997559,41.055737,295.109253
21,0.700000,1243.028564,41.037804,295.105011
22,0.733333,1243.015381,41.026730,295.115692
23,0.766667,1243.010864,41.058273,295.128174
24,0.800000,1243.020874,41.031548,295.089050
25,0.833333,1243.010376,41.049873,295.127228
26,0.866667,1243.008179,41.030167,295.115997
27,0.900000,1243.003052,41.018730,295.126251
28,0.933333,1243.009888,41.036469,295.127899
29,0.966667,1243.016479,41.038033,295.129669
30,1.000000,1243.007202,41.037033,295.112762
31,1.033333,1243.005737,41.019997,295.102661
32,1.066667,1243.005615,41.028000,295.107941
33,1.100000,1242.997314,41.039513,295.084106
34,1.133333,1243.006592,41.019878,295.111603
35,1.166667,1243.010742,41.019573,295.127533
36,1.200000,1243.026489,41.025742,295.121185
37,1.233333,1243.020752,41.035313,295.124725
38,1.266667,1243.027954,41.022259,295.104248
39,1.300000,1243.010620,41.025208,295.127930
40,1.333333,1242.995117,41.019253,295.129242
41,1.366667,1243.004028,41.027149,295.131439
42,1.400000,1243.010132,41.053219,295.097992
43,1.433333,1243.003906,41.003433,295.134308
44,1.466667,1242.988525,41.032085,295.102722
45,1.500000,1243.013306,41.027012,295.122894
46,1.533333,1242.998901,41.048965,295.119934
47,1.566667,1242.996460,41.034843,295.135651
48,1.600000,1243.034912,41.035862,295.106659
49,1.633333,1242.994751,41.034325,295.106049
50,1.666667,1243.001709,41.026733,295.115234
51,1.700000,1243.021729,41.050995,295.140991
52,1.733333,1242.992188,41.047020,295.140747
53,1.766667,1242.999268,41.044472,295.107086
54,1.800000,1243.011719,41.044472,295.116699
55,1.833333,1243.026855,41.031433,295.118530
56,1.866667,1242.997803,41.048252,295.133087
57,1.900000,1243.003296,41.027061,295.121246
58,1.933333,1243.003418,41.032890,295.114075
59,1.966667,1242.999390,41.046188,295.112671
60,2.000000,1243.008911,41.028648,295.091370
61,2.033333,1243.009766,41.046185,295.106445
62,2.066667,1243.019775,41.037231,295.121857
63,2.100000,1243.020386,41.058159,295.113068
64,2.133333,1243.003906,41.054482,295.139557
65,2.166667,1242.989014,41.067364,295.122955
66,2.200000,1242.978394,41.035770,295.111908
67,2.233333,1243.012207,41.025177,295.100616
68,2.266667,1242.981445,41.047180,295.137726
69,2.300000,1243.014038,41.047020,295.077637
70,2.333333,1243.093140,41.040184,295.051544
71,2.366667,1243.190186,41.058479,294.979553
72,2.400000,1243.384399,41.073986,294.757843
73,2.433333,1243.504761,41.075504,294.560211
74,2.466667,1243.455811,41.080074,294.429535
75,2.500000,1243.369263,41.096619,294.342316
76,2.533333,1243.395386,41.358280,294.141785
77,2.566667,1243.150513,42.305511,294.062317
78,2.600000,1243.308838,43.892872,294.039154
79,2.633333,1243.547363,46.546444,294.060974
80,2.666667,1243.319824,50.958603,293.914917
81,2.700000,1243.581787,56.931564,294.062866
82,2.733333,1243.292847,65.314240,294.670532
83,2.766667,1242.778320,76.594398,296.253143
84,2.800000,1243.342896,91.422379,296.243225
85,2.833333,1244.455444,109.231468,296.106628
86,2.866667,1244.743896,129.727966,296.455170
87,2.900000,1244.998779,152.396301,297.282684
88,2.933333,1245.125000,176.945801,297.804108
89,2.966667,1245.700684,202.832428,298.258972
90,3.000000,1246.239014,230.061478,298.284882
91,3.033333,1246.808838,257.914612,298.150574
92,3.066667,1247.510864,286.630249,297.652588
93,3.100000,1247.960327,315.941833,297.461456
94,3.133333,1248.381958,345.495544,297.113831
95,3.166667,1248.964600,375.447632,296.611908
96,3.200000,1249.310791,405.404877,296.375366
97,3.233333,1249.508789,435.217865,296.074829
98,3.266667,1249.765869,464.815887,295.450104
99,3.300000,1249.993896,493.928894,295.078094
100,3.333333,1250.016357,522.551453,294.916138
101,3.366667,1250.295288,550.348022,294.618225
102,3.400000,1250.520020,577.317139,294.191040
103,3.433333,1250.657471,603.501770,293.718323
104,3.466667,1250.683594,628.640015,293.381470
105,3.500000,1250.665894,652.788391,292.926727
106,3.533333,1250.785767,675.671143,292.328125
107,3.566667,1250.988770,697.416809,292.035339
108,3.600000,1251.015137,717.963562,291.743286
109,3.633333,1251.204468,737.283447,291.446838
110,3.666667,1251.360596,755.415588,291.037170
111,3.700000,1251.502441,772.336121,290.543915
112,3.733333,1251.734863,787.973633,290.249756
113,3.766667,1251.825684,802.351501,290.009003
114,3.800000,1251.975586,815.590332,289.645538
115,3.833333,1252.380981,827.751892,289.283508
116,3.866667,1252.799316,838.751831,288.859070
117,3.900000,1252.951538,848.735779,288.439484
118,3.933333,1253.240723,857.790710,288.053772
119,3.966667,1253.712158,865.724792,287.845520
120,4.000000,1254.049438,872.940308,287.471802
121,4.033333,1254.480225,879.153564,287.082977
122,4.066667,1254.927002,884.747559,286.761871
123,4.100000,1255.524292,889.487305,286.469299
124,4.133333,1256.118164,893.589600,286.134033
125,4.166667,1256.504639,897.240662,286.211060
126,4.200000,1257.033691,900.285828,285.910706
127,4.233333,1257.606201,902.900146,286.162689
128,4.266667,1258.029541,905.209167,286.192017
129,4.300000,1258.718384,907.358887,286.312103
130,4.333333,1259.255981,909.065491,286.574738
131,4.366667,1259.795776,910.697754,286.795410
132,4.400000,1260.375000,912.012024,287.018311
133,4.433333,1261.083496,913.266968,287.454834
134,4.466667,1261.640625,914.360840,287.915833
135,4.500000,1262.306274,915.403870,288.330872
136,4.533333,1262.913696,916.266968,288.820404
137,4.566667,1263.480957,917.028931,289.340973
138,4.600000,1264.233765,917.740417,289.879791
139,4.633333,1264.861694,918.380859,290.382263
140,4.666667,1265.504272,918.963135,290.867493
141,4.700000,1266.017334,919.559082,291.336121
142,4.733333,1266.590820,920.045227,291.773956
143,4.766667,1267.158936,920.544006,292.247742
144,4.800000,1267.620117,920.905273,292.575592
145,4.833333,1268.035400,921.210876,292.867920
146,4.866667,1268.448975,921.454224,293.101410
147,4.900000,1268.849854,921.602112,293.323517
148,4.933333,1269.138550,921.718262,293.468719
149,4.966667,1269.411377,921.738098,293.620850
150,5.000000,1269.617432,921.666809,293.774750
151,5.033333,1269.834229,921.483582,293.908234
152,5.066667,1270.022095,921.190125,294.075562
153,5.100000,1270.160400,920.851135,294.257813
154,5.133333,1270.205322,920.310974,294.350677
155,5.166667,1270.345947,919.758179,294.562469
156,5.200000,1270.330688,919.087524,294.766052
157,5.233333,1270.330200,918.300537,295.055878
158,5.266667,1270.335205,917.236328,295.333221
159,5.300000,1270.175171,915.998901,295.554077
160,5.333333,1270.111572,914.813416,295.723694
161,5.366667,1269.895264,913.387756,295.931427
162,5.400000,1269.773071,911.588684,296.281677
163,5.433333,1269.594482,909.938599,296.513977
164,5.466667,1269.315674,908.089661,296.697205
165,5.500000,1269.150146,906.170654,296.960632
166,5.533333,1268.973511,903.982178,297.194763
167,5.566667,1268.783936,901.870300,297.242462
168,5.600000,1268.426270,899.603088,297.559692
169,5.633333,1268.115112,897.159485,297.646362
170,5.666667,1267.814331,894.656982,297.852966
171,5.700000,1267.561279,892.114990,297.845917
172,5.733333,1267.277222,889.387451,297.972229
173,5.766667,1266.989014,886.672729,297.870026
174,5.800000,1266.819824,883.826355,297.782410
175,5.833333,1266.468628,880.998169,297.787506
176,5.866667,1266.122681,878.062866,297.556091
177,5.900000,1266.005859,875.092896,297.550079
178,5.933333,1265.687744,872.108826,297.372131
179,5.966667,1265.614746,868.923340,297.238861
180,6.000000,1265.354370,865.883301,296.947205
181,6.033333,1265.108398,862.754456,296.685486
182,6.066667,1264.868652,859.509094,296.520294
183,6.100000,1264.630737,856.524475,296.227203
184,6.133333,1264.482056,853.369934,296.092712
185,6.166667,1264.300781,850.423523,295.912170
186,6.200000,1264.061890,847.395630,295.703735
187,6.233333,1264.114990,844.514587,295.654480
188,6.266667,1263.724609,841.828857,295.318939
189,6.300000,1263.699829,838.873230,295.280792
190,6.333333,1263.464111,836.289063,295.128174
191,6.366667,1263.296387,833.647522,295.053192
192,6.400000,1263.156494,830.995667,294.970917
193,6.433333,1262.880371,828.642578,294.776062
194,6.466667,1262.728638,826.178833,294.894531
195,6.500000,1262.616333,823.871094,294.735382
196,6.533333,1262.587769,821.715271,294.630371
197,6.566667,1262.391846,819.592224,294.706238
