
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
0.692, , 7.79787e-15, 1.23389e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54828e-15, , , , , , , , , , , , , 
1.192, , 7.79782e-15, 2.23571e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54876e-15, , , , , , , , , , , , , 
1.692, , 7.79777e-15, 3.23753e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54923e-15, , , , , , , , , , , , , 
2.192, , 7.79773e-15, 4.23936e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54971e-15, , , , , , , , , , , , , 
2.692, , 7.79768e-15, 5.24118e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55019e-15, , , , , , , , , , , , , 
3.192, , 7.79763e-15, 6.243e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55066e-15, , , , , , , , , , , , , 
3.692, , 7.79758e-15, 7.24483e-14, 0.025, 1, -9.55376e-15, 5.22634e-15, -6.55114e-15, , , , , , , , , , , , , 
4.192, , 7.79753e-15, 8.24665e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55161e-15, , , , , , , , , , , , , 
4.692, , 7.79748e-15, 9.24848e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55209e-15, , , , , , , , , , , , , 
5.192, , 7.79744e-15, 1.02503e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55256e-15, , , , , , , , , , , , , 
5.692, , 7.79739e-15, 1.12521e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55304e-15, , , , , , , , , , , , , 
6.192, , 7.79734e-15, 1.22539e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.55351e-15, , , , , , , , , , , , , 
6.692, , 7.7973e-15, 1.32558e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.55399e-15, , , , , , , , , , , , , 
7.192, , 7.79725e-15, 1.42576e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55446e-15, , , , , , , , , , , , , 
7.692, , 7.7972e-15, 1.52594e-13, 0.025, 1, -9.55377e-15, 5.22636e-15, -6.55494e-15, , , , , , , , , , , , , 
8.192, , 7.79716e-15, 1.62612e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55541e-15, , , , , , , , , , , , , 
8.692, , 7.79711e-15, 1.72631e-13, 0.025, 1, -9.55378e-15, 5.22635e-15, -6.55589e-15, , , , , , , , , , , , , 
9.192, , 7.79706e-15, 1.82649e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55636e-15, , , , , , , , , , , , , 
9.692, , 7.79701e-15, 1.92667e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.55684e-15, , , , , , , , , , , , , 
10.192, , 7.79697e-15, 2.02685e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.55731e-15, , , , , , , , , , , , , 
10.692, , 7.79693e-15, 2.12704e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55779e-15, , , , , , , , , , , , , 
11.192, , 7.79688e-15, 2.22722e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55826e-15, , , , , , , , , , , , , 
11.692, , 7.79684e-15, 2.3274e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.55874e-15, , , , , , , , , , , , , 
12.192, , 7.79679e-15, 2.42758e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55921e-15, , , , , , , , , , , , , 
12.692, , 7.79674e-15, 2.52777e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55969e-15, , , , , , , , , , , , , 
13.192, , 7.79669e-15, 2.62795e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.56016e-15, , , , , , , , , , , , , 
13.692, , 7.79665e-15, 2.72813e-13, 0.025, 1, -9.55378e-15, 5.22636e-15, -6.56064e-15, , , , , , , , , , , , , 
14.192, , 7.7966e-15, 2.82831e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.56111e-15, , , , , , , , , , , , , 
14.692, , 7.79655e-15, 2.92849e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.56159e-15, , , , , , , , , , , , , 
15.192, , 7.79651e-15, 3.02868e-13, 0.025, 1, -9.55378e-15, 5.22636e-15, -6.56206e-15, , , , , , , , , , , , , 
15.692, , 7.79646e-15, 3.12886e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.56254e-15, , , , , , , , , , , , , 
16.192, , 7.79641e-15, 3.22904e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.56301e-15, , , , , , , , , , , , , 
16.692, , 7.79636e-15, 3.32922e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.56349e-15, , , , , , , , , , , , , 
17.192, , 7.79631e-15, 3.42941e-13, 0.025, 1, -9.55377e-15, 5.22636e-15, -6.56396e-15, , , , , , , , , , , , , 
17.692, , 7.79626e-15, 3.52959e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.56444e-15, , , , , , , , , , , , , 
18.192, , 7.79622e-15, 3.62977e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.56491e-15, , , , , , , , , , , , , 
18.692, , 7.79617e-15, 3.72995e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.56539e-15, , , , , , , , , , , , , 
19.192, , 9.67031e-09, 3.8112e-13, 0.0723101, 1, -1.47435e-19, 9.98084e-07, 7.14876e-15, , , , , , , , , , , , , 
19.692, , 2.24425e-07, 3.8431e-13, 0.242737, 1, -1.2664e-19, 2.401e-06, 1.59729e-14, , , , , , , , , , , , , 
20.192, , 9.63997e-07, 3.85482e-13, 0.463492, 1, -1.25003e-19, 3.77595e-06, 1.92166e-14, , , , , , , , , , , , , 
20.692, , 2.38629e-06, 3.85913e-13, 0.702745, 1, -1.38116e-19, 5.14063e-06, 2.04089e-14, , , , , , , , , , , , , 
21.192, , 4.53015e-06, 3.86072e-13, 0.948795, 1, -1.59448e-19, 6.50152e-06, 2.08473e-14, , , , , , , , , , , , , 
21.692, , 7.18859e-06, 3.8613e-13, 1.13756, 1, -1.83264e-19, 7.78589e-06, 2.10084e-14, , , , , , , , , , , , , 
22.192, , 9.26818e-06, 3.86152e-13, 1.20931, 1, -2.09676e-19, 9.10472e-06, 2.10677e-14, , , , , , , , , , , , , 
22.692, , 1.05079e-05, 3.86159e-13, 1.23568, 1, -2.37437e-19, 1.04488e-05, 2.10895e-14, , , , , , , , , , , , , 
23.192, , 1.11643e-05, 3.86162e-13, 1.24537, 1, -2.65742e-19, 1.18021e-05, 2.10976e-14, , , , , , , , , , , , , 
23.692, , 1.1489e-05, 3.86163e-13, 1.24893, 1, -2.94267e-19, 1.31588e-05, 2.11006e-14, , , , , , , , , , , , , 
24.192, , 1.16425e-05, 3.86164e-13, 1.25024, 1, -3.22878e-19, 1.45168e-05, 2.11018e-14, , , , , , , , , , , , , 
24.692, , 1.17128e-05, 3.86164e-13, 1.25072, 1, -3.51524e-19, 1.58752e-05, 2.11023e-14, , , , , , , , , , , , , 
25.192, , 1.17442e-05, 3.86164e-13, 1.2509, 1, -3.80182e-19, 1.72338e-05, 2.11026e-14, , , , , , , , , , , , , 
25.692, , 1.1758e-05, 3.86164e-13, 1.25096, 1, -4.08845e-19, 1.85925e-05, 2.11027e-14, , , , , , , , , , , , , 
26.192, , 1.1764e-05, 3.86164e-13, 1.25099, 1, -4.3751e-19, 1.99512e-05, 2.11029e-14, , , , , , , , , , , , , 
26.692, , 1.17665e-05, 3.86164e-13, 1.25099, 1, -4.66175e-19, 2.13099e-05, 2.1103e-14, , , , , , , , , , , , , 
27.192, , 1.17676e-05, 3.86164e-13, 1.251, 1, -4.94838e-19, 2.26686e-05, 2.11032e-14, , , , , , , , , , , , , 
27.692, , 1.1768e-05, 3.86164e-13, 1.251, 1, -5.23502e-19, 2.40273e-05, 2.11033e-14, , , , , , , , , , , , , 
28.192, , 1.17682e-05, 3.86164e-13, 1.251, 1, -5.52164e-19, 2.5386e-05, 2.11035e-14, , , , , , , , , , , , , 
28.692, , 1.17683e-05, 3.86164e-13, 1.251, 1, -5.80825e-19, 2.67447e-05, 2.11037e-14, , , , , , , , , , , , , 
29.192, , 1.17683e-05, 3.86164e-13, 1.251, 1, -6.09485e-19, 2.81034e-05, 2.11038e-14, , , , , , , , , , , , , 
29.692, , 1.17683e-05, 3.86164e-13, 1.251, 1, -6.38144e-19, 2.94621e-05, 2.1104e-14, , , , , , , , , , , , , 
30.192, , 1.17683e-05, 3.86164e-13, 1.251, 1, -6.66802e-19, 3.08208e-05, 2.11042e-14, , , , , , , , , , , , , 
30.692, , 1.17683e-05, 3.86164e-13, 1.251, 1, -6.95458e-19, 3.21795e-05, 2.11044e-14, , , , , , , , , , , , , 
31.192, , 1.17683e-05, 3.86164e-13, 1.251, 1, -7.24114e-19, 3.35382e-05, 2.11047e-14, , , , , , , , , , , , , 
31.692, , 1.17683e-05, 3.86164e-13, 1.251, 1, -7.52767e-19, 3.48969e-05, 2.11049e-14, , , , , , , , , , , , , 
32.192, , 1.17683e-05, 3.86164e-13, 1.251, 1, -7.8142e-19, 3.62556e-05, 2.11051e-14, , , , , , , , , , , , , 
32.692, , 1.17683e-05, 3.86164e-13, 1.251, 1, -8.10071e-19, 3.76143e-05, 2.11054e-14, , , , , , , , , , , , , 
33.192, , 0.0702358, 3.89128e-13, 1.251, 1, -8.3872e-19, 3.8973e-05, 2.11056e-14, , , , , , , , , , , , , 
33.692, , 1.60024, 4.53712e-13, 1.25096, 1, -8.67368e-19, 4.03316e-05, 2.11059e-14, , , , , , , , , , , , , 
34.192, , 5.13024, 6.02719e-13, 1.25081, 1, -8.96012e-19, 4.16903e-05, 2.11062e-14, , , , , , , , , , , , , 
34.692, , 10.6602, 8.36153e-13, 1.2505, 1, -9.24655e-19, 4.30489e-05, 2.11065e-14, , , , , , , , , , , , , 
35.192, , 18.1902, 1.15402e-12, 1.25002, 1, -9.53296e-19, 4.44075e-05, 2.11067e-14, , , , , , , , , , , , , 
35.692, , 27.7202, 1.55631e-12, 1.24936, 1, -9.81936e-19, 4.57661e-05, 2.1107e-14, , , , , , , , , , , , , 
36.192, , 39.2502, 2.04303e-12, 1.24849, 1, -1.01057e-18, 4.71246e-05, 2.11073e-14, , , , , , , , , , , , , 
36.692, , 52.7802, 2.6142e-12, 1.24742, 1, -1.03921e-18, 4.84832e-05, 2.11077e-14, , , , , , , , , , , , , 
37.192, , 68.3102, 3.2698e-12, 1.24612, 1, -1.06784e-18, 4.98418e-05, 2.1108e-14, , , , , , , , , , , , , 
37.692, , 85.8402, 4.00984e-12, 1.24458, 1, -1.09648e-18, 5.12004e-05, 2.11083e-14, , , , , , , , , , , , , 
38.192, , 105.37, 4.83432e-12, 1.24281, 1, -1.12511e-18, 5.25589e-05, 2.11086e-14, , , , , , , , , , , , , 
38.692, , 126.9, 5.74326e-12, 1.24077, 1, -1.15373e-18, 5.39175e-05, 2.1109e-14, , , , , , , , , , , , , 
39.192, , 150.43, 6.73664e-12, 1.23848, 1, -1.18236e-18, 5.5276e-05, 2.11093e-14, , , , , , , , , , , , , 
39.692, , 175.96, 7.81447e-12, 1.2359, 1, -1.21098e-18, 5.66346e-05, 2.11097e-14, , , , , , , , , , , , , 
40.192, , 203.489, 0.000728, 1.23304, 1, -4.99824e-11, 5.79931e-05, -3.71231e-07, , , , , , , , , , , , , 
40.692, , 230.911, 1.05489, 1.22994, 1, -6.26881e-08, 5.93517e-05, -0.000395986, , , , , , , , , , , , , 
41.192, , 256.335, 4.11075, 1.22683, 0.999999, -1.90674e-07, 6.07104e-05, -0.00118991, , , , , , , , , , , , , 
41.692, , 279.763, 9.17142, 1.22382, 0.999998, -3.4423e-07, 6.20691e-05, -0.00212726, , , , , , , , , , , , , 
42.192, , 301.201, 16.2406, 1.22096, 0.999995, -5.08249e-07, 6.34278e-05, -0.00311364, , , , , , , , , , , , , 
42.692, , 320.65, 25.3222, 1.21828, 0.999992, -6.76954e-07, 6.47864e-05, -0.0041139, , , , , , , , , , , , , 
43.192, , 338.117, 36.4202, 1.21578, 0.999987, -8.48094e-07, 6.61449e-05, -0.00511482, , , , , , , , , , , , , 
43.692, , 353.603, 49.5385, 1.21349, 0.999981, -1.02075e-06, 6.75034e-05, -0.00611128, , , , , , , , , , , , , 
44.192, , 367.115, 64.6811, 1.21141, 0.999975, -1.19449e-06, 6.88619e-05, -0.00710115, , , , , , , , , , , , , 
44.692, , 378.655, 81.8519, 1.20955, 0.999967, -1.3691e-06, 7.02203e-05, -0.00808339, , , , , , , , , , , , , 
45.192, , 388.227, 101.055, 1.20793, 0.999959, -1.54441e-06, 7.15787e-05, -0.00905738, , , , , , , , , , , , , 
45.692, , 395.837, 122.294, 1.20654, 0.99995, -1.72027e-06, 7.2937e-05, -0.0100227, , , , , , , , , , , , , 
46.192, , 401.486, 145.572, 1.20541, 0.99994, -1.89655e-06, 7.42953e-05, -0.0109788, , , , , , , , , , , , , 
46.692, , 405.18, 170.894, 1.20453, 0.999929, -2.07312e-06, 7.56536e-05, -0.0119255, , , , , , , , , , , , , 
47.192, , 407.162, 198.257, 1.20392, 0.999917, -2.24984e-06, 7.70118e-05, -0.0128623, , , , , , , , , , , , , 
47.692, , 408.255, 227.341, 1.20351, 0.999907, -2.39783e-06, 7.837e-05, -0.0136515, , , , , , , , , , , , , 
48.192, , 407.6, 255.218, 1.20329, 0.99991, -2.32424e-06, 7.97289e-05, -0.0133934, , , , , , , , , , , , , 
48.692, , 404.891, 281.15, 1.20336, 0.999921, -2.12867e-06, 8.1088e-05, -0.0125759, , , , , , , , , , , , , 
49.192, , 400.133, 305.132, 1.20375, 0.999933, -1.88673e-06, 8.24471e-05, -0.011557, , , , , , , , , , , , , 
49.692, , 393.329, 327.162, 1.20449, 0.999945, -1.62709e-06, 8.38061e-05, -0.0104697, , , , , , , , , , , , , 
50.192, , 384.484, 347.233, 1.20559, 0.999956, -1.36069e-06, 8.5165e-05, -0.00936386, , , , , , , , , , , , , 
50.692, , 373.602, 365.343, 1.20706, 0.999966, -1.09176e-06, 8.65238e-05, -0.00825826, , , , , , , , , , , , , 
51.192, , 360.687, 381.485, 1.20892, 0.999974, -8.22038e-07, 8.78825e-05, -0.00716019, , , , , , , , , , , , , 
51.692, , 345.744, 395.657, 1.21117, 0.999982, -5.52282e-07, 8.9241e-05, -0.00607267, , , , , , , , , , , , , 
52.192, , 328.776, 407.853, 1.21382, 0.999988, -2.82904e-07, 9.05995e-05, -0.00499711, , , , , , , , , , , , , 
52.692, , 309.789, 418.069, 1.21688, 0.999992, -1.41798e-08, 9.19578e-05, -0.00393434, , , , , , , , , , , , , 
53.192, , 288.785, 426.3, 1.22035, 0.999996, 2.53664e-07, 9.3316e-05, -0.00288496, , , , , , , , , , , , , 
53.692, , 265.771, 432.544, 1.22426, 0.999998, 5.20419e-07, 9.46742e-05, -0.00184945, , , , , , , , , , , , , 
54.192, , 240.749, 436.795, 1.2286, 1, 7.85882e-07, 9.60322e-05, -0.000828283, , , , , , , , , , , , , 
54.692, , 213.723, 439.065, 1.23338, 1, 1.04792e-06, 9.73902e-05, 0.000170655, , , , , , , , , , , , , 
55.192, , 184.959, 439.838, 1.23861, 1, 1.26186e-06, 9.87483e-05, 0.000979298, , , , , , , , , , , , , 
55.692, , 157.381, 438.832, 1.24407, 0.999998, 1.49098e-06, 0.000100106, 0.00183758, , , , , , , , , , , , , 
56.192, , 131.811, 435.834, 1.24942, 0.999996, 1.73877e-06, 0.000101463, 0.00275709, , , , , , , , , , , , , 
56.692, , 108.252, 430.846, 1.25451, 0.999993, 1.99212e-06, 0.000102821, 0.00368906, , , , , , , , , , , , , 
57.192, , 86.7079, 423.874, 1.25929, 0.999989, 2.24596e-06, 0.000104178, 0.00461504, , , , , , , , , , , , , 
57.692, , 67.1819, 414.92, 1.26371, 0.999985, 2.49823e-06, 0.000105535, 0.00552795, , , , , , , , , , , , , 
58.192, , 49.6779, 403.988, 1.26777, 0.999979, 2.74805e-06, 0.000106892, 0.00642493, , , , , , , , , , , , , 
58.692, , 34.1995, 391.082, 1.27143, 0.999973, 2.99494e-06, 0.000108249, 0.00730472, , , , , , , , , , , , , 
59.192, , 20.75, 376.206, 1.2747, 0.999967, 3.23861e-06, 0.000109606, 0.00816666, , , , , , , , , , , , , 
59.692, , 9.33289, 359.362, 1.27756, 0.999959, 3.47883e-06, 0.000110963, 0.00901036, , , , , , , , , , , , , 
60.192, , -0.0484861, 340.555, 1.27999, 0.999952, 3.7154e-06, 0.00011232, 0.0098355, , , , , , , , , , , , , 
60.692, , -7.39092, 319.787, 1.28198, 0.999943, 3.94814e-06, 0.000113677, 0.0106418, , , , , , , , , , , , , 
61.192, , -12.6912, 297.063, 1.28352, 0.999935, 4.17684e-06, 0.000115034, 0.0114291, , , , , , , , , , , , , 
61.692, , -15.9464, 272.385, 1.2846, 0.999926, 4.40135e-06, 0.000116391, 0.0121971, , , , , , , , , , , , , 
62.192, , -17.2066, 245.852, 1.28521, 0.999917, 4.60686e-06, 0.000117748, 0.0128989, , , , , , , , , , , , , 
62.692, , -17.272, 220.137, 1.2854, 0.99992, 4.49904e-06, 0.000119107, 0.0126159, , , , , , , , , , , , , 
63.192, , -16.9392, 196.432, 1.28534, 0.999932, 4.17601e-06, 0.000120467, 0.0116702, , , , , , , , , , , , , 
63.692, , -16.5159, 174.73, 1.28518, 0.999945, 3.77476e-06, 0.000121827, 0.0104925, , , , , , , , , , , , , 
64.192, , -16.1162, 155.028, 1.285, 0.999957, 3.34758e-06, 0.000123188, 0.00924478, , , , , , , , , , , , , 
64.692, , -15.7775, 137.325, 1.28482, 0.999968, 2.91455e-06, 0.000124548, 0.00798836, , , , , , , , , , , , , 
65.192, , -15.5074, 121.621, 1.28467, 0.999977, 2.4835e-06, 0.000125908, 0.00674647, , , , , , , , , , , , , 
65.692, , -15.3022, 107.917, 1.28454, 0.999985, 2.05759e-06, 0.000127268, 0.00552809, , , , , , , , , , , , , 
66.192, , -15.1538, 96.2121, 1.22709, 0.999991, 1.63866e-06, 0.000128554, 0.00433679, , , , , , , , , , , , , 
66.692, , -15.053, 86.5069, 1.05062, 0.999995, 1.22694e-06, 0.000129872, 0.00317407, , , , , , , , , , , , , 
67.192, , -14.99, 78.8015, 0.82762, 0.999998, 8.22809e-07, 0.000131217, 0.00204061, , , , , , , , , , , , , 
67.692, , -14.9552, 73.096, 0.587531, 1, 4.26589e-07, 0.00013257, 0.000936756, , , , , , , , , , , , , 
68.192, , -14.9393, 69.3904, 0.341168, 1, 3.85415e-08, 0.000133927, -0.000137296, , , , , , , , , , , , , 
68.692, , -14.9333, 67.6077, 0.0925024, 0.999999, -3.28833e-07, 0.000135285, -0.00114754, , , , , , , , , , , , , 
69.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.09416e-07, 2.51883e-05, -0.00124697, , , , , , , , , , , , , 
69.692, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.13246e-07, 2.51848e-05, -0.00124694, , , , , , , , , , , , , 
70.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.17076e-07, 2.51812e-05, -0.00124691, , , , , , , , , , , , , 
70.692, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.20905e-07, 2.51776e-05, -0.00124687, , , , , , , , , , , , , 
71.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.24733e-07, 2.51741e-05, -0.00124684, , , , , , , , , , , , , 
71.692, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.28561e-07, 2.51705e-05, -0.00124681, , , , , , , , , , , , , 
72.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.32388e-07, 2.5167e-05, -0.00124678, , , , , , , , , , , , , 
72.692, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.36214e-07, 2.51634e-05, -0.00124674, , , , , , , , , , , , , 
73.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.4004e-07, 2.51599e-05, -0.00124671, , , , , , , , , , , , , 
73.692, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.43865e-07, 2.51563e-05, -0.00124668, , , , , , , , , , , , , 
74.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.47689e-07, 2.51527e-05, -0.00124665, , , , , , , , , , , , , 
74.692, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.51513e-07, 2.51492e-05, -0.00124661, , , , , , , , , , , , , 
75.192, , -14.9328, 67.3416, 0.0249955, 0.999999, 1.55336e-07, 2.51456e-05, -0.00124658, , , , , , , , , , , , , 
75.692, , -14.9328, 67.3416, 0.0561293, 0.999999, 9.75177e-10, 7.82432e-07, -0.00124657, , , , , , , , , , , , , 
76.192, , -14.9328, 67.3416, 0.214503, 0.999999, 2.73236e-09, 2.19205e-06, -0.00124657, , , , , , , , , , , , , 
76.692, , -14.9328, 67.3416, 0.430829, 0.999999, 4.44939e-09, 3.56946e-06, -0.00124657, , , , , , , , , , , , , 
77.192, , -14.9328, 67.3416, 0.668453, 0.999999, 6.15168e-09, 4.93504e-06, -0.00124657, , , , , , , , , , , , , 
77.692, , -14.9328, 67.3416, 0.913905, 0.999999, 7.84854e-09, 6.29626e-06, -0.00124657, , , , , , , , , , , , , 
78.192, , -14.9328, 67.3416, 1.13949, 0.999999, 9.47985e-09, 7.60491e-06, -0.00124657, , , , , , , , , , , , , 
78.692, , -14.9328, 67.3416, 1.23865, 0.999999, 1.11049e-08, 8.90851e-06, -0.00124657, , , , , , , , , , , , , 
79.192, , -14.9328, 67.3416, 1.27509, 0.999999, 1.27733e-08, 1.0247e-05, -0.00124657, , , , , , , , , , , , , 
79.692, , -14.9328, 67.3416, 1.28848, 0.999999, 1.44578e-08, 1.15982e-05, -0.00124657, , , , , , , , , , , , , 
80.192, , -14.9328, 67.3416, 1.2934, 0.999999, 1.61481e-08, 1.29542e-05, -0.00124657, , , , , , , , , , , , , 
80.692, , -14.9328, 67.3416, 1.29521, 0.999999, 1.78405e-08, 1.43119e-05, -0.00124657, , , , , , , , , , , , , 
81.192, , -14.9328, 67.3416, 1.29588, 0.999999, 1.95338e-08, 1.56702e-05, -0.00124657, , , , , , , , , , , , , 
81.692, , -14.9328, 67.3416, 1.29612, 0.999999, 2.12273e-08, 1.70288e-05, -0.00124657, , , , , , , , , , , , , 
82.192, , -14.9328, 67.3416, 1.29621, 0.999999, 2.2921e-08, 1.83874e-05, -0.00124657, , , , , , , , , , , , , 
82.692, , -14.9328, 67.3416, 1.29624, 0.999999, 2.46147e-08, 1.97461e-05, -0.00124657, , , , , , , , , , , , , 
83.192, , -14.9328, 67.3416, 1.29626, 0.999999, 2.63084e-08, 2.11048e-05, -0.00124657, , , , , , , , , , , , , 
83.692, , -14.9328, 67.3416, 1.29626, 0.999999, 2.80021e-08, 2.24635e-05, -0.00124657, , , , , , , , , , , , , 
84.192, , -14.9328, 67.3416, 1.29626, 0.999999, 2.96958e-08, 2.38222e-05, -0.00124657, , , , , , , , , , , , , 
84.692, , -14.9328, 67.3416, 1.29626, 0.999999, 3.13895e-08, 2.51809e-05, -0.00124657, , , , , , , , , , , , , 
85.192, , -14.9328, 67.3416, 1.29626, 0.999999, 3.30832e-08, 2.65396e-05, -0.00124657, , , , , , , , , , , , , 
85.692, , -14.9328, 67.3416, 1.29626, 0.999999, 3.47769e-08, 2.78983e-05, -0.00124657, , , , , , , , , , , , , 
86.192, , -14.9328, 67.3416, 1.29626, 0.999999, 3.64706e-08, 2.9257e-05, -0.00124657, , , , , , , , , , , , , 
