
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
0.821, , 7.79787e-15, 1.23389e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54828e-15, , , , , , , , , , , , , 
1.321, , 7.79782e-15, 2.23571e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54876e-15, , , , , , , , , , , , , 
1.821, , 7.79777e-15, 3.23753e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54923e-15, , , , , , , , , , , , , 
2.321, , 7.79773e-15, 4.23936e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.54971e-15, , , , , , , , , , , , , 
2.821, , 7.79768e-15, 5.24118e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55019e-15, , , , , , , , , , , , , 
3.321, , 7.79763e-15, 6.243e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55066e-15, , , , , , , , , , , , , 
3.821, , 7.79758e-15, 7.24483e-14, 0.025, 1, -9.55376e-15, 5.22634e-15, -6.55114e-15, , , , , , , , , , , , , 
4.321, , 7.79753e-15, 8.24665e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55161e-15, , , , , , , , , , , , , 
4.821, , 7.79748e-15, 9.24848e-14, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55209e-15, , , , , , , , , , , , , 
5.321, , 7.79744e-15, 1.02503e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55256e-15, , , , , , , , , , , , , 
5.821, , 7.79739e-15, 1.12521e-13, 0.025, 1, -9.55377e-15, 5.22635e-15, -6.55304e-15, , , , , , , , , , , , , 
6.321, , 7.79734e-15, 1.22539e-13, 0.025, 1, -9.55376e-15, 5.22635e-15, -6.55351e-15, , , , , , , , , , , , , 
6.821, , 2.39105e-08, 1.29606e-13, 0.0986044, 1, 1.49492e-19, 1.27401e-06, -2.27839e-14, , , , , , , , , , , , , 
7.321, , 3.19514e-07, 1.32231e-13, 0.283076, 1, 1.50517e-19, 2.66913e-06, -3.00476e-14, , , , , , , , , , , , , 
7.821, , 1.18425e-06, 1.33195e-13, 0.508993, 1, 1.70392e-19, 4.04121e-06, -3.27167e-14, , , , , , , , , , , , , 
8.321, , 2.74564e-06, 1.3355e-13, 0.750143, 1, 2.03515e-19, 5.40483e-06, -3.36974e-14, , , , , , , , , , , , , 
8.821, , 5.02947e-06, 1.3368e-13, 0.99689, 1, 2.43806e-19, 6.76534e-06, -3.40578e-14, , , , , , , , , , , , , 
9.321, , 7.78375e-06, 1.33728e-13, 1.17927, 1, 2.84916e-19, 8.04658e-06, -3.41903e-14, , , , , , , , , , , , , 
9.821, , 9.88476e-06, 1.33745e-13, 1.24773, 1, 3.28972e-19, 9.36725e-06, -3.4239e-14, , , , , , , , , , , , , 
10.321, , 1.11237e-05, 1.33751e-13, 1.27288, 1, 3.74546e-19, 1.0712e-05, -3.42569e-14, , , , , , , , , , , , , 
10.821, , 1.17755e-05, 1.33754e-13, 1.28213, 1, 4.20718e-19, 1.20655e-05, -3.42635e-14, , , , , , , , , , , , , 
11.321, , 1.20964e-05, 1.33755e-13, 1.28553, 1, 4.67125e-19, 1.34223e-05, -3.42659e-14, , , , , , , , , , , , , 
11.821, , 1.22477e-05, 1.33755e-13, 1.28677, 1, 5.13624e-19, 1.47804e-05, -3.42669e-14, , , , , , , , , , , , , 
12.321, , 1.23168e-05, 1.33755e-13, 1.28723, 1, 5.60158e-19, 1.61388e-05, -3.42672e-14, , , , , , , , , , , , , 
12.821, , 1.23476e-05, 1.33755e-13, 1.2874, 1, 6.06707e-19, 1.74974e-05, -3.42674e-14, , , , , , , , , , , , , 
13.321, , 1.23611e-05, 1.33755e-13, 1.28746, 1, 6.5326e-19, 1.88561e-05, -3.42675e-14, , , , , , , , , , , , , 
13.821, , 1.23669e-05, 1.33755e-13, 1.28749, 1, 6.99815e-19, 2.02148e-05, -3.42676e-14, , , , , , , , , , , , , 
14.321, , 1.23693e-05, 1.33755e-13, 1.2875, 1, 7.46371e-19, 2.15735e-05, -3.42676e-14, , , , , , , , , , , , , 
14.821, , 1.23704e-05, 1.33755e-13, 1.2875, 1, 7.92926e-19, 2.29322e-05, -3.42677e-14, , , , , , , , , , , , , 
15.321, , 1.23708e-05, 1.33755e-13, 1.2875, 1, 8.39482e-19, 2.42909e-05, -3.42678e-14, , , , , , , , , , , , , 
15.821, , 1.2371e-05, 1.33755e-13, 1.2875, 1, 8.86036e-19, 2.56496e-05, -3.42678e-14, , , , , , , , , , , , , 
16.321, , 1.23711e-05, 1.33755e-13, 1.2875, 1, 9.32591e-19, 2.70083e-05, -3.42679e-14, , , , , , , , , , , , , 
16.821, , 1.23711e-05, 1.33755e-13, 1.2875, 1, 9.79145e-19, 2.8367e-05, -3.4268e-14, , , , , , , , , , , , , 
17.321, , 1.23711e-05, 1.33755e-13, 1.2875, 1, 1.0257e-18, 2.97257e-05, -3.42681e-14, , , , , , , , , , , , , 
17.821, , 1.23711e-05, 1.33755e-13, 1.2875, 1, 1.07225e-18, 3.10844e-05, -3.42682e-14, , , , , , , , , , , , , 
